category,question,optionA,optionB,optionC,optionD,correct,image,explanation
VFR,Which of the messages listed below shall not be handled by the aeronautical mobile service?,Meteorological messages.,Radio teletype messages.,Urgency messages.,Flight safety messages.,2,,
VFR,"The priority of the pilot's message ""REQUEST QDM"" is:","less than ""REQUEST CLIMB TO FLIGHT LEVEL 150"".","less than ""DESCEND TO FLIGHT LEVEL 100"".","greater than ""TURN LEFT HEADING 090"".","same as ""LATEST QNH 1018"".",3,,
VFR,"The message addressed to an Area Control Centre ""REQUEST RADAR VECTORS TO CIRCUMNAVIGATE ADVERSE WEATHER"" is:",a flight safety message.,an urgency message.,a meteorological message.,a message relating to direction finding.,1,,
VFR,"A message concerning an aircraft being threatened by grave and imminent danger, requiring immediate assistance is called:",class B message.,urgency message.,distress message.,flight safety message.,3,,
VFR,"The clearance ""CLEARED FOR IMMEDIATE TAKEOFF RUNWAY 03"" is:",a flight regularity message,a flight safety message,an urgency message,an unauthorized message,2,,
VFR,"The message to an aeronautical ground station ""PLEASE CALL A TAXI-CAB FOR US. WE WILL ARRIVE AT 1045 AS SCHEDULED"" is:",an unauthorized message.,a flight safety messages.,a flight regularity message.,an urgency message.,1,,
VFR,The order of priority of the following messages in the aeronautical mobile service is:,"flight regularity message, distress message, meteorological message.","flight safety message, meteorological message, flight regularity message.","flight safety message, direction finding message, urgency message.","meteorological message, direction finding message, flight safety message.",2,,
VFR,A message concerning aircraft parts and material urgently required is:,an urgency message.,a flight security message.,a flight safety message.,a flight regularity message.,4,,
VFR,"The priority of the instruction ""TAXI TO RUNWAY 05"" is:","greater than ""TRANSMIT FOR QDM"".","greater than ""CAUTION, CONSTRUCTION WORK LEFT OF TAXIWAY"".","same as ""LINE-UP RUNWAY 07 AND WAIT"".","less than ""CLEARED TO LAND"".",3,,
VFR,"Air Traffic Control messages (clearances, instructions, etc.) belong to the category of:",service messages.,flight regularity messages.,flight safety messages.,class B messages.,3,,
VFR,The order of priority of the following messages in the aeronautical mobile service is:,"distress message, flight safety message, urgency message.","direction finding message, distress message, urgency message.","distress message, urgency message, direction finding message.","meteorological message, direction finding message, flight regularity message.",3,,
VFR,The aeronautical mobile service handles message categories in a specific order. Which of the following descending order of priority is correct?,"Flight safety, urgency, direction finding, meteorological","Urgency, flight safety, meteorological, direction finding","Urgency, flight safety, direction finding, meteorological","Urgency, direction finding, flight safety, meteorological",4,,
VFR,Flight safety messages are:,Air Traffic Control messages.,messages relating to direction finding.,operation messages concerning non-routine landings.,"messages concerning the safety of an aircraft, a vessel, any other vehicle or a person.",1,,
VFR,When should words be spelled out in radiotelephony?,Whenever so requested by the responsible aeronautical reporting and service office.,"Whenever the spelling of proper names, service abbreviations and words is doubtful.",If standard phraseology is used the meaning of all words is clear and there is no need to spell them out.,"Words, names and abbreviations must be spelled out unless exempted to do so.",2,,
VFR,What is the correct way of spelling out HB-JYC in a radio message?,Hotel Bravo India Yankee Charlie,Hotel Bravo Juliett India Kilo,Hotel Bravo India Victor Charlie,Hotel Bravo Juliett Yankee Charlie,4,,
VFR,What is the correct way of transmitting 1001 as a QNH?,QNH one double zero one.,QNH one double O one.,QNH one thousand and one.,QNH one zero zero one.,4,,
VFR,Which of the following must be read digit by digit?,QNH 1 000,13 000 ft,Visibility 4 000 ft,2 500 ft,1,,
VFR,What is the correct way of transmitting the number 3 500 when indicating an altitude or a height?,Three five hundred.,Three thousand five hundred.,Three five double zero.,Three five zero zero.,2,,
VFR,An aircraft is flying north-east at 2 500 feet. TOWER requests the pilot to report heading and level. What is the correct response?,Heading 045 at 2 500 feet.,045 and 2 500.,Heading north-east at level 025.,Heading 45 at 2 500 feet.,1,,
VFR,During the transmission of numbers containing a decimal point:,the term DECIMAL can be omitted with friendly ATS units only.,the term DECIMAL must be spoken only if followed by three digits.,the term DECIMAL must always be transmitted.,the term DECIMAL can be omitted if no chance of misunderstanding exists.,3,,
VFR,What is the correct way to transmit and read back frequency 120.375 MHz (VHF channel separated by 25 kHz)?,One two zero three seven.,One two zero decimal three seven.,One twenty decimal three seven.,One two zero decimal three seven five.,4,,
VFR,What would be the controllers answer if you ask for a time check at 23:31 UTC?,Twentythree 31.,One one three one UTC.,Time check three one UTC.,Time check two three three one.,4,,
VFR,The time is 9:20 AM. What is the correct way of transmitting this time if there is no possibility of confusion about the hour?,Two zero this hour.,Nine twenty AM.,Twenty.,Two zero.,4,,
VFR,The time is 4:15 PM. What is the correct way of transmitting this time if there is any possibility of confusion about the hour?,Sixteen fifteen.,One six one five.,Four fifteen PM.,Four fifteen in the afternoon.,2,,
VFR,"When transmitting time, which time system shall be used?","Local time (LT), 24-hour clock.",Local time (LT) AM and PM.,"No specific system, as only the minutes are normally required.",Co-ordinated universal time (UTC).,4,,
VFR,"In the event that a pilot is required to make a ""BLIND"" transmission, this should be made:",on the emergency frequency only.,during VFR flights only.,twice on the designated frequency.,only once on the designated frequency.,3,,
VFR,Messages accepted for transmission should be transmitted ___ without altering the sense of the message in any way.,only in English language,in plain language or ICAO phraseologies,by using abbreviations with phonetic spelling and thereby expediting communication,by using corresponding subsidiary phraseologies in preference to ICAO phraseology whenever it is possible,2,,
VFR,My message will be more effective and understandable if I:,stress the end of message.,stress every beginning of message.,maintain the speaking volume at a constant level.,use the words twice method.,3,,
VFR,What are the consequences of an aircraft with a transmit button stuck on?,It prevents other aircraft transmissions being heard but does not affect the readability of ATC transmissions.,It improves readability for everyone else.,No one else can use the frequency.,It has no effect on other transmissions.,3,,
VFR,What is meant by good microphone technique?,Keep the microphone far away since it improves the readability.,"Use a normal conversation tone, speak clearly and distinctly.",Speak very loudly into the microphone.,Make large use of hesitation sounds as ER.,2,,
VFR,Before transmitting the pilot should:,listen out on the frequency to ensure no interference with another station already transmitting will occur.,always write the message and read it during the transmission.,make sure that the aircraft is levelled off.,make sure that the emergency frequency is tuned in at the same time.,1,,
VFR,"What does the phrase ""GO AHEAD"" mean?",Pass me the following information.,Yes.,Taxi on.,Proceed with your message.,4,,
VFR,"What does the instruction ""ORBIT RIGHT"" mean?",Leave the runway to the right.,Turn right to avoid other traffic.,Make 360Â° turns to the right.,Right-hand circuits are in use.,3,,
VFR,Which of these phrases is used to inform the control tower that a pilot is performing a missed approach?,OVERSHOOTING.,GOING AROUND.,WILL MAKE ANOTHER APPROACH.,PULLING UP.,2,,
VFR,The terms OVER and OUT in radio communications are:,common terms.,irregular terms in VHF.,irregular terms in HF.,commonly used to confirm a clearance.,2,,
VFR,"An aircraft is departing from Lille, call sign D-ENRW, runways in use 26 and 20. The pilot receives the following message: â€œD-RW, behind the landing Airbus, line up and wait runway 26 behindâ€<br>Which of the following answers is correct?","The message was preceded by: â€œD-RW, report Airbus on final in sightâ€ with a reply from the pilot â€œD-RW, Airbus in sight.â€ Following the message given by the question text, the pilot will read back: â€œBehind Airbus, lining up and waiting runway 26 behind, D-RWâ€.","The message was preceded by: â€œD-RW ready for immediate departureâ€. Following the message given by the question text, the pilot will read back: â€œBehind Airbus, lining up and waiting runway 26 behind, D-RWâ€.","Following the message given by the question text, the pilot will read back: â€œBehind Airbus, lining up and waiting, D-RWâ€.","The message was preceded by: â€œD-RW, report Airbus on final in sightâ€ with a reply from the pilot â€œD-RW, Airbus in sightâ€. Following the message given by the question text, the pilot will read back: â€œBehind Airbus, lining up and waiting, D-RWâ€.",1,,
VFR,"Which of these statements best describes the meaning of the phrase ""STANDBY""?",Permission granted for action proposed.,Select STANDBY on the SSR transponder.,Wait and I will call you.,Continue on present heading and listen out.,3,,
VFR,An aircraft departs for a VFR flight from Rijeka (Croatia) airport. What should the pilot transmit to ATC?,"RIJEKA APPROACH, 9A-ABC, OUT OF CONTROL ZONE","RIJEKA APPROACH, 9A-ABC, PASSING THE CONTROL ZONE BOUNDARY","RIJEKA APPROACH, 9A-ABC, CLEAR FROM CONTROL ZONE","ZONE BOUNDARY PASSED, 9A-ABC",2,,
VFR,"Which word or phrase shall be used if you want to say ""WAIT AND I WILL CALL YOU""?",WILCO.,GO AHEAD.,STANDBY.,ROGER.,3,,
VFR,"What does the phrase ""ROGER"" mean?",A direct answer in the negative.,Cleared for take-off or cleared to land.,I have received all of your last transmission.,A direct answer in the affirmative.,3,,
VFR,"If a pilot receives an instruction from ATC which can not be carried out, the reply should use the phrase:","NEGATIVE, CAN NOT FOLLOW INSTRUCTION.",NEGATIVE.,NEGATIVE INSTRUCTION.,UNABLE TO COMPLY.,4,,
VFR,"If ATC asks aircraft D-ENRW to standby, what is the pilot expected to reply, if any?","No reply necessary, ATC will call back",Standing by D-ENRW,Standby D-ENRW,Standing by,1,,
VFR,Which phrase shall be used to confirm that a message has been repeated correctly?,THAT IS RIGHT.,CORRECT.,AFFIRM.,THAT IS AFFIRMATIVE.,2,,
VFR,Which phraseology is to be used to ask the control tower for permission to taxi on a runway in the direction opposite to that in use?,BACKTRACK CLEARANCE.,CLEARANCE TO BACKTRACK.,REQUEST BACKTRACK ON RUNWAY.,TO ENTER BACK RUNWAY.,3,,
VFR,How shall a pilot inform the control tower that he is prepared for take-off?,READY TO LINE-UP.,READY FOR DEPARTURE or READY.,READY TO GO.,READY FOR TAKE-OFF.,2,,
VFR,Prior departure you notice that the ATIS is unserviceable. Which of the below listed items must be used and in what sequence if you want to request departure information?<br>1) Station being called<br>2) Local QNH<br>3) Planned altitude or flight level<br>4) Route intentions<br>5) Requested information<br>6) Call sign of the aircraft<br>7) Aircraft type,"1, 5, 6, 2","6, 7, 3, 4","1, 6, 4, 5","6, 1, 2, 7",3,,
VFR,"What does the word ""WILCO"" mean?","As communication is difficult, I will call you later.",I have received all of your last transmission.,I read you fine.,I understand your message and will comply with it.,4,,
VFR,"Aircraft X-BC has been instructed to listen on ATIS frequency 123.25, on which information are being broadcast. What is the correct response to indicate that it will follow this instruction?",MONITORING 123.25 X-BC.,CHANGING TO 123.25 X-BC.,WILL CONTACT 123.25 X-BC.,CHECKING 123.25 X-BC.,1,,
VFR,"What does the instruction ""VACATE LEFT"" mean?",Clear the runway immediately.,Hold position on the left side of the runway.,Turn left to leave the runway.,Give way to aircraft from the left.,3,,
VFR,An aircraft is located west of Friedrichshafen aerodrome. Which of the following position reports to the controller would be correct?,"Friedrichshafen Tower, Fastair 123, altitude 5 500 ft, position 10 minutes west of Friedrichshafen, next report overhead November.","Fastair 123, Friedrichshafen Tower, position 10 minutes west of Friedrichshafen, altitude 5 500 ft, next report overhead November.","Friedrichshafen Tower, Fastair 123, position 10 minutes west of Friedrichshafen, altitude 5 500 ft, next report overhead November.","Fastair 123, Friedrichshafen Tower, altitude 5 500 ft, position10 minutes west of Friedrichshafen, next report overhead November.",3,,
VFR,"What does the instruction ""GO-AROUND"" mean?",Make a 360Â° turn.,Overtake the aircraft ahead.,Proceed with your message.,Carry out a missed approach.,4,,
VFR,"Which phrase shall be used if you want to say ""PASS ME THE FOLLOWING INFORMATION""?",CHECK.,SAY AGAIN.,REQUEST.,REPORT.,4,,
VFR,Which kind of language and phraseology is commonly used in radio communication?,"English only, ICAO phraseology or plain language","English, ICAO phraseology","English, ICAO phraseology or plain language","English only, ICAO phraseology",2,,
VFR,An aircraft is instructed to hold short of the runway-in-use. What is the correct phraseology to indicate it will follow this instruction?,WILCO.,HOLDING SHORT.,ROGER.,WILL STOP BEFORE.,2,,
VFR,"You are flying at your cruising level with a reduced Mach number of 0.79 but you are able to fly Mach 0.85. If ATC asks you ""Are you able to increase to Mach 0.85"", what will be your reply?",AFFIRM,ROGER,WILCO,NEGATIVE,1,,
VFR,Which phrase shall be used if the repetition of an entire message is required?,WHAT WAS YOUR MESSAGE?,REPEAT YOUR LAST TRANSMISSION.,SAY AGAIN.,REPEAT YOUR MESSAGE.,3,,
VFR,"What does the phrase ""READ BACK"" mean?",Did you correctly receive this message?,Check and confirm with originator.,Let me know that you have received and understood this message.,"Repeat all, or the specified part, of this message back to me exactly as received.",4,,
VFR,"What standard term are you going to use to reply to an ATS message to indicate that you have understood the message, and will carry out the instructions incorporated in it?",APPROVED,CLEARED,WILCO,ACKNOWLEDGE,3,,
VFR,ATC reports traffic. Which phrase should be used if a pilot wants to inform ATC that he/she does not see the corresponding traffic?,NEGATIVE CONTACT,LOOKING OUT,TRAFFIC IN SIGHT,CANNOT SEE TRAFFIC,1,,
VFR,How shall a pilot ask for a QFE?,request Quebec Fox Easy,request Queen Fox Easy,request Quebec Fox Echo,request Quebec Foxtrot Echo,4,,
VFR,"Which phrase shall be used if you want to say ""YES""?",ROGER,AFFIRMATIVE,YES,AFFIRM,4,,
VFR,"Which phrase shall be used if you want to say ""I WOULD LIKE TO KNOW"" or ""I WISH TO OBTAIN""?",CONFIRM.,REQUEST.,REPORT.,ACKNOWLEDGE.,2,,
VFR,An aircraft gets a clearance from the tower to commence a right turn to heading 360. Soon after the clearance was transmitted the tower calls again and informs the aircraft to stop the turn at heading 335 instead of heading 360. How would the tower tell this to the aircraft addressed?,FASTAIR 123 STOP TURN HEADING THREE THREE FIVE DEGREES.,FASTAIR 123 STOP THREE SIXTY,FASTAIR 123 DO NOT CONTINUE PAST THREE THREE FIVE DEGREES,FASTAIR 123 ALTER HEADING THREE THREE FIVE DEGREES,1,,
VFR,How should aircraft XY-ABC call Stephenville TOWER on initial call?,TOWER XY-ABC,Stephenville XY-ABC,Stephenville TOWER XY-ABC,Stephenville TOWER X-BC,3,,
VFR,Which unit provides flight information service?,APRON,CONTROL,AERODROME,TOWER,3,,
VFR,What is the radiotelephony call sign for the aeronautical station providing surface movement control of aircraft on the manoeuvring area?,APPROACH,TOWER,CONTROL,GROUND,4,,
VFR,The call sign of an aeronautical station consists of two parts. Name those two parts:,Both parts of the characters of their registration mark.,The name of the location and the unit or service available.,The unit or service available and their allocated frequency.,The name of the location and the unit or service available and their allocated frequency.,2,,
VFR,What is the radiotelephony call sign suffix for the aeronautical station indicating aerodrome control service?,TOWER,APRON,AERODROME,CONTROL,1,,
VFR,What is the radiotelephony call sign for the aeronautical station providing flight information service?,CONTROL,FLIGHT CENTRE,FLIGHT INFORMATION CENTRE,INFORMATION,4,,
VFR,When may the name of the location or the call sign suffix in the call sign of an aeronautical station be omitted?,Only after the aeronautical station has used the abbreviated call sign.,When satisfactory communication has been established and provided it will not be confusing to do so.,Never.,In dense traffic during rush hours.,2,,
VFR,Which of the following abbreviated call signs of Cherokee XY-ABC is correct?,Cherokee BC,Cherokee X-BC,Cherokee X-ABC,Cherokee XY-BC,1,,
VFR,"How can the call sign of an Airbus 319 ""Speedbird ABCD"" be abbreviated?",Airbus CD.,Speedbird CD.,No abbreviation possible.,Airbus Speedbird CD.,2,,
VFR,Which of the following abbreviated call signs of aircraft XY-ABC is correct?,X-BC,XY-BC,BC,ABC,1,,
VFR,When is an aircraft station allowed to use its abbreviated call sign?,After it has been addressed in this manner by the aeronautical ground station.,Provided no confusion is likely to result.,Only after satisfactory communication has been established.,In dense traffic.,1,,
VFR,A radiotelephony call sign for aircraft shall be:,the characters corresponding to the registration marking of the aircraft.,"the telephony designator of the aircraft operating agency, followed by the last four characters of the registration marking of the aircraft.","the telephony designator of the aircraft operating agency, followed by the flight identification.",All answers are correct.,4,,
VFR,Aircraft X-BC has been instructed to contact Stephenville TOWER on frequency 118.7. What is the correct response to indicate that it will follow this instruction?,118.7 X-BC.,Changing over X-BC.,Stephenville TOWER X-BC.,Will change to TOWER X-BC.,1,,
VFR,"The phraseology which is used by a ground station to instruct the pilot of a Cessna 172, registered I-AVEX, in order to transfer the communication to Milano area control centre?","Aircraft calling, please contact Milano centre on 135.455","I-EX, call Milano control centre","Cessna I-AVEX, contact Milano control 135.455","Cessna VEX, contact centre on 135.455 now",3,,
VFR,The controller tells you to contact the tower on frequency 123.7 MHz as soon as your altitude is 1 500 ft. Your reply is:,123.7,Contact 123.7,"At 1 500 ft, contacting 123.7","At 1 500 ft, will contact 123.7",4,,
VFR,"On the readability scale what does ""READABILITY 5"" mean?",Unreadable.,Problem to understand.,Perfectly readable.,Readable but with difficulty.,3,,
VFR,What would be the correct reply by a controller after G-ABCD asked for a radio check on Dunham tower frequency 118.7 and was perfectly readable?,"Dunham tower, G-ABCD on 118.7, readability 5","G-ABCD, Dunham tower, readability 5","G-ABCD, Dunham tower on 118.7, readability 5","Dunham tower, G-ABCD, readability 5",2,,
VFR,Aircraft XY-ABC is making a test transmission with Stephenville TOWER on frequency 118.7. What is the correct phrasing for this transmission?,Stephenville TOWER XY-ABC frequency check.,Stephenville TOWER XY-ABC radio check 118.7.,Stephenville TOWER XY-ABC preflight check.,Stephenville TOWER XY-ABC signal check.,2,,
VFR,"On the readability scale what does ""READABILITY 2"" mean?",Readable but with difficulty.,Readable.,Unreadable.,Readable now and then.,4,,
VFR,"On the readability scale what does ""READABILITY 1"" mean?",Readable but with difficulty.,Readable.,Unreadable.,Perfectly readable.,3,,
VFR,"On the readability scale what does ""READABILITY 3"" mean?",Readable but with difficulty.,Loud and clear.,No problem to understand.,Unreadable.,1,,
VFR,How should a pilot terminate the read-back of an ATC clearance?,With his own aircraft call sign.,"With the word ""WILCO"".",With the ATC ground station call sign.,"With the word ""ROGER"".",1,,
VFR,"Cherokee XY-ABC receives the following instruction: ""X-BC CLIMB STRAIGHT AHEAD UNTIL 2 500 FEET BEFORE TURNING RIGHT, WIND 270 DEGREES 6 KNOTS, CLEARED FOR TAKEOFF"". What is the correct read back?","Straight ahead, 2 500 feet right turn, wind west 6 knots, cleared for take-off, X-BC.","Wilco, cleared for take-off, X-BC.","Right turn after 2 500, roger, X-BC.","Straight ahead, at 2 500 feet right turn, cleared for take-off, X-BC.",4,,
VFR,"When acknowledging the transponder mode / code setting instructions, pilots shall:",read back the mode and code to be set.,read back the code to be set and SQUAK IDENT.,use only the word ROGER.,use only the word WILCO.,1,,
VFR,"""G-ABCD, Runway 10 in use, wind 360Â° / 11 kts, visibility 1200, QNH 1006""
How would you respond to this message?","Runway one zero, QNH one zero zero six.","QNH one zero zero six, G-ABCD.","Runway one zero, G-ABCD.","QNH one zero zero six, wind 360/11.",1,,
VFR,Shall an ATC route clearance always be read back?,"No, if the ATC route clearance is transmitted in a published form (e.g. Standard Instrument Departure Route/SID).","No, if the content of the ATC clearance is clear and no confusion is likely to arise.","Yes, unless authorized otherwise by ATS authority concerned.","No, if the communication channel is overloaded.",3,,
VFR,Which elements of instructions or information shall always be read back?,"Runway-in-use, altimeter settings, SSR codes, level instructions, heading and speed instructions.","Surface wind, visibility, ground temperature, runway-in-use, altimeter settings, heading and speed instructions.","Time check, runway-in-use, altimeter settings, level instructions, SSR codes.","Runway-in-use, visibility, surface wind, heading instructions, altimeter settings.",1,,
VFR,"RADAR informs aircraft X-BC: ""X-BC IDENTIFIED"". What does this mean?",X-BC is not visible on the radar screen.,X-BC should perform an identification turn.,X-BC should operate the IDENT-button.,Radar identification has been achieved.,4,,
VFR,"RADAR instructs aircraft X-BC: ""X-BC RESET SQUAWK 1015"". What does this mean?",X-BC is requested to set new code 1015.,X-BC has been identified by SSR code 1015.,X-BC is requested to reselect SSR code 1015.,X-BC has been identified at 10:15 (UTC).,3,,
VFR,How would the controller ask for your SSR equipment capabilities?,Advise SSR capabilities.,Advise transponder capabilities.,Report squawk.,Report transponder capabilities.,2,,
VFR,How shall a pilot inform a radar control unit that the aircraft is not equipped with transponder?,TRANSPONDER NOT AVAILABLE.,NO SSR.,NEGATIVE TRANSPONDER.,NEGATIVE SQUAWK.,3,,
VFR,"What does the phrase ""SQUAWK 1234"" mean?",Standby on frequency 123.4 MHz.,Select code 1 234 on the SSR transponder.,Give a short count for DF (direction finder).,Make a test transmission on 123.4 MHz.,2,,
VFR,"RADAR instructs aircraft X-BC: ""X-BC SQUAWK IDENT"". What does this mean?",Radar identification has been achieved by correlating an observed radar blip with aircraft XY-ABC.,X-BC shall operate the IDENT button.,X-BC shall reselect his assigned mode and code.,X-BC should perform an identification turn of at least 020 degrees.,2,,
VFR,"RADAR instructs aircraft X-BC: ""X-BC SQUAWK STANDBY"". What does this mean?",X-BC is requested to standby as the radar controller is busy.,X-BC is requested to switch the transponder to standby position.,X-BC is requested to standby on the frequency.,X-BC is requested to standby for radar vectors.,2,,
VFR,"When the term ""OVERCAST"" is used in an aviation routine weather report (METAR), the amount of clouds covering the sky is:",No clouds but poor ground visibility.,100%.,50% or more.,Less than 50%.,2,,
VFR,In which situation would a METAR result in a prompt ATIS update?,When receiving a MET REPORT SPECIAL.,"When receiving of any official weather, regardless of content change or reported values.",Only when the ceiling and/or visibility changes by a significant value.,Every 30 minutes if weather conditions are below those for VFR (otherwise every 60 minutes).,1,,
VFR,What is the correct way of expressing visibility?,Visibility 1 200 metres.,Visibility 1.2 kilometres.,Visibility 1 200 feet.,Visibility 1.2 nautical miles.,1,,
VFR,Which of the following units is commonly used in Europe to express QNH / QFE values?,psi,mmHg,mb,hPa,4,,
VFR,How is the visibility in an aviation routine weather report (METAR) expressed in plain language?,in feet and nautical miles.,"up to 5 000 m in metres, above in kilometres.","up to 1 500 m in metres, above in kilometres.",in nautical miles only.,2,,
VFR,"When the term ""CAVOK"" is used in an aviation routine weather report (METAR), the values of visibility and clouds are:","visibility 10 km or more, no clouds below 1 500 feet/GND.","visibility more than 5 000 m, no clouds below 1 500 m/GND.","visibility 10 km or more, no clouds below 5 000 feet/GND.","visibility more than 8 km, no clouds below 3 000 feet/GND.",3,,
VFR,Which answer decodes the following METAR correctly? CYWG 172000Z 30015G25KT 3/4SM R36/4000FT/D 00/M02 BLSN BKN008 QNH 1020,"...time 20:00 UTC, wind (magnetic) 300Â°/15 kts, gusts max 25 kts, visibility 3/4 statute miles, RVR runway 36 4 000 m (from taxiway D), blowing snow, clouds broken at 8 000 ft, QNH 1 020 hPa","...time 17:20 UTC, wind (true) 300Â°/15 kts, gusts max 25 kts, visibility 3/4 statute miles, RVR runway 36 4 000 ft, blowing snow, clouds broken at 800 m","...time 20:00 LMT, wind (magnetic ) 300Â°/15 kts, gusts min 25 kts, visibility 3/4 statute miles, RVR runway 36 4 000 ft (decreasing tendency), blowing snow, clouds broken at 800 ft, QNH 1 020 hPa","...time 20:00 UTC, wind (true) 300Â°/15 kts, gusts max 25 kts, visibility 3/4 statute miles, RVR runway 36 4 000 ft (decreasing tendency), blowing snow, clouds broken at 800 ft, QNH 1 020 hPa",4,,
VFR,"When the term ""SCATTERED"" is used in an aviation routine weather report (METAR), the amount of clouds covering the sky is:",more than half but less than overcast (5 to 7 oktas).,no clouds below 5.000 feet/GND.,half or less than half (3 or 4 oktas).,sky entirely covered (8 oktas).,3,,
VFR,What symbols will be added to a METAR message if wind shear is reported for all runways?,WS ALL RWY,WS ARWY,WS and airport ICAO code,WS + runway designators,1,,
VFR,"A METAR states that the wind direction is 130Â°, wind velocity is 5 kts, visibility is 8 km, clouds are scattered in 25 000 ft, temperature is 12Â°C and due point is -8Â°C and QNH is 1028 hPa.<br>Which of the following weather conditions would result in a change of the above METAR (ATIS) information?",1 850Z 20 020KT 8 000 SCT250 12/m08 Q1028 NOSIG =,1 850Z 10 010KT 7 000 SCT150 11/m08 Q1038 NOSIG =,1 850Z 13 005KT 6 000 SCT250 13/m08 Q1028 NOSIG =,1 850Z 15 010KT 8 000 SCT250 12/m08 Q1018 NOSIG =,1,,
VFR,"When the term ""BROKEN"" is used in aviation routine weather report (METAR), the amount of clouds covering the sky is:",5 to 7 oktas.,No clouds below 5 000 feet.,8 oktas below 10 000 feet.,1 to 4 oktas.,1,,
VFR,An Automatic Terminal Information Service provides:,current meteorological and operational information essential for the safety of the air navigation within a FIR.,information concerning enroute weather phenomena which may effect the safety of aircraft operation.,weather reports relating a specific number of aerodromes located within a flight information region (FIR).,routine information to arriving and departing aircraft by means of continuous and repetitive broadcast.,4,,
VFR,What is normally used for ATIS broadcasts?,Discrete VHF frequency or/and VOR.,NDB frequencies.,DME voice channel.,Voice channel of an ILS.,1,,
